freq,core,L1D_size,L1D_assoc,L1D_type,L1I_size,L1I_assoc,L1I_type,l2_enabled,l2_prefetch,L2_size,L2_assoc,L2_type,benchmark,sim_seconds,total_energy,l1i_hits,l1i_misses,l1i_miss_rate,l1d_hits,l1d_misses,l1d_miss_rate,l2_hits,l2_misses,l2_miss_rate,refreshEnergy,selfRefreshEnergy,actEnergy,actBackEnergy,actPowerDownEnergy,preEnergy,preBackEnergy,prePowerDownEnergy,readEnergy,writeEnergy,dCacheStaticPower,dCacheDynamicPower,dWalkerCacheStaticPower,dWalkerCacheDynamicPower,iCacheStaticPower,iCacheDynamicPower,iWalkerCacheStaticPower,iWalkerCacheDynamicPower,cpuStaticPower,cpuDynamicPower,l2StaticPower,l2DynamicPower
1500,A15,512kB,16,"hp",128kB,4,"hp",True,False,2MB,8,"hp",7.99834112863e-06,0.018665,428520821.25,11432750.0,887.0,0.003056,8398140.0,302342.0,1.029186,45502.0,46036.0,2.760375,25123020.0,46215911.55,31378515.0,82626679.5,25195190.7,16534560.0,2096100.0,1856574.0,170746968.0,26740584.0,3.314132,1.541331,3.8e-05,0.0,0.675165,0.508586,3.8e-05,0.0,0.010925,0.012198,12.963681,0.060036
1500,A15,512kB,32,"hp",128kB,4,"hp",True,False,2MB,8,"hp",8.01328811992e-06,0.01866,429436662.375,11432724.0,886.0,0.003077,8401567.0,298818.0,1.025477,43157.0,46220.0,2.782621,25147200.0,46203497.775,31389225.0,82971223.5,25196055.3,16536441.6,2066071.2,1856011.5,170953944.0,27114048.0,3.567725,2.308885,3.8e-05,0.0,0.675165,0.508624,3.8e-05,0.0,0.010925,0.012198,12.963681,0.058937
1500,A15,512kB,64,"hp",128kB,4,"hp",True,False,2MB,8,"hp",8.07146153307e-06,0.018671,432299369.775,11436402.0,887.0,0.00308,8409756.0,294879.0,1.012382,43146.0,46286.0,2.786097,25413180.0,46322425.125,31656975.0,83905122.0,25017495.75,16679443.2,2123191.2,1964889.0,171481968.0,27727128.0,3.896482,3.689771,3.8e-05,0.0,0.675165,0.508733,3.8e-05,0.0,0.010925,0.012198,12.963681,0.05878
1500,A15,512kB,16,"hp",128kB,8,"hp",True,False,2MB,8,"hp",1.12901607924e-05,0.024714,456832596.6,11231452.0,820.0,0.003421,8386193.0,292080.0,1.080972,45587.0,45908.0,2.785659,28580760.0,63442450.2,31296405.0,84682788.0,30115039.8,16488460.8,2391532.8,2544696.0,170583504.0,26705016.0,4.3607,1.535003,5e-05,0.0,0.8601,0.513674,5e-05,0.0,0.014375,0.012192,17.057475,0.058862
1500,A15,512kB,32,"hp",128kB,8,"hp",True,False,2MB,8,"hp",1.12837628054e-05,0.024712,456610667.1,11231417.0,820.0,0.00344,8389024.0,289019.0,1.074568,43295.0,46052.0,2.802427,28411500.0,63407130.75,31405290.0,83577894.0,30649264.35,16548672.0,2297652.0,2414911.5,170815176.0,27081288.0,4.694375,2.299218,5e-05,0.0,0.8601,0.513699,5e-05,0.0,0.014375,0.012193,17.057475,0.057725
1500,A15,512kB,64,"hp",128kB,8,"hp",True,False,2MB,8,"hp",1.1378608766e-05,0.02473,460113577.275,11235829.0,832.0,0.003505,8396285.0,288214.0,1.064926,43205.0,46197.0,2.81466,28798380.0,63501978.075,31862250.0,85115188.5,29915828.1,16787635.2,2349386.4,2686707.0,171397296.0,27693432.0,5.12695,3.674292,5e-05,0.0,0.8601,0.513791,5e-05,0.0,0.014375,0.012189,17.057475,0.057377
1500,A15,512kB,16,"hp",128kB,16,"hp",True,False,2MB,8,"hp",1.12901607924e-05,0.024714,456832596.6,11231452.0,820.0,0.003421,8386193.0,292080.0,1.080972,45587.0,45908.0,2.785659,28580760.0,63442450.2,31296405.0,84682788.0,30115039.8,16488460.8,2391532.8,2544696.0,170583504.0,26705016.0,4.3607,1.535003,5e-05,0.0,0.939725,0.523662,5e-05,0.0,0.014375,0.012192,17.057475,0.058862
1500,A15,512kB,32,"hp",128kB,16,"hp",True,False,2MB,8,"hp",1.12837628054e-05,0.024712,456610667.1,11231417.0,820.0,0.00344,8389024.0,289019.0,1.074568,43295.0,46052.0,2.802427,28411500.0,63407130.75,31405290.0,83577894.0,30649264.35,16548672.0,2297652.0,2414911.5,170815176.0,27081288.0,4.694375,2.299218,5e-05,0.0,0.939725,0.523687,5e-05,0.0,0.014375,0.012193,17.057475,0.057725
1500,A15,512kB,64,"hp",128kB,16,"hp",True,False,2MB,8,"hp",1.1378608766e-05,0.02473,460113577.275,11235829.0,832.0,0.003505,8396285.0,288214.0,1.064926,43205.0,46197.0,2.81466,28798380.0,63501978.075,31862250.0,85115188.5,29915828.1,16787635.2,2349386.4,2686707.0,171397296.0,27693432.0,5.12695,3.674292,5e-05,0.0,0.939725,0.523779,5e-05,0.0,0.014375,0.012189,17.057475,0.057377
1500,A15,512kB,16,"hp",128kB,4,"hp",True,False,2MB,16,"hp",8.27258838237e-06,0.018696,442479053.4,11432550.0,886.0,0.003064,8397926.0,302576.0,1.034922,44689.0,46853.0,2.750199,25606620.0,46190130.45,33531225.0,85814155.5,24706396.95,17671046.4,2168071.2,1983177.0,174748896.0,30057768.0,3.314132,1.538991,3.8e-05,0.0,0.675165,0.508261,3.8e-05,0.0,0.010925,0.012194,12.991117,0.059269
